,Armor,Armor Value,Config,Engine Size,Engine Type,Era,Heat Sinks,Mass,Myomer,Name,Rules Level,Source,Speeds,Structure,TechBase,Variant,Weapons
Pompier Firemech GM-3CD,Heavy Industrial(Inner Sphere),24,Biped,30,Fuel Cell Engine(IS),3062,1 Single,15,Standard,Pompier Firemech,3,TRO VA - Civil War,"{'Walk': 2, 'Run': 3, 'Jump': '0'}",IS Industrial,Inner Sphere,GM-3CD,"['0', []]"
Chaffee Servicemech BT1,Heavy Industrial(Inner Sphere),48,Biped,75,Fuel Cell Engine(IS),3081,1 Single,15,Industrial Triple-Strength,Chaffee Servicemech,3,TRO VA - Jihad,"{'Walk': 5, 'Run': 8, 'Jump': '0'}",IS Industrial,Inner Sphere,BT1,"['0', []]"
Patron LoaderMech,Heavy Industrial(Inner Sphere),24,Biped,30,Fuel Cell Engine,2550,1 Single,15,Standard,Patron LoaderMech,2,TRO 3075,"{'Walk': 2, 'Run': 3, 'Jump': '0'}",Industrial,Inner Sphere,(Standard),"['0', []]"
Pompier Firemech GM-3HT,Heavy Industrial(Inner Sphere),24,Biped,30,Fuel Cell Engine(IS),3060,1 Single,15,Standard,Pompier Firemech,3,TRO VA - Clan Invasion,"{'Walk': 2, 'Run': 3, 'Jump': '0'}",IS Industrial,Inner Sphere,GM-3HT,"['0', []]"
Patron-I LoaderMech,Commercial(Inner Sphere),24,Biped,40,Fuel Cell Engine(IS),2470,1 Single,15,Standard,Patron I LoaderMech,4,TRO 3075,"{'Walk': 2, 'Run': 3, 'Jump': '0'}",IS Industrial,Inner Sphere,,"['0', []]"
Patron MilitiaMech PTN-2M,Heavy Industrial(Inner Sphere),32,Biped,30,Fuel Cell Engine(IS),3083,1 Single,15,Standard,Patron MilitiaMech,3,TRO:Prototypes,"{'Walk': 2, 'Run': 3, 'Jump': '0'}",Industrial,Inner Sphere,PTN-2M,"['7', ['Light Machine Gun, Left Arm', 'Light Machine Gun, Left Arm', 'Light Machine Gun, Right Arm', 'Light Machine Gun, Right Arm', 'Rocket Launcher 10, Right Torso', 'Rocket Launcher 10, Right Torso', 'Rocket Launcher 10, Right Torso']]"
Pompier GM-3A,Heavy Industrial(Inner Sphere),24,Biped,30,Fuel Cell Engine(IS),3044,1 Single,15,Standard,Pompier Firemech,3,TRO VA - Late Succession War,"{'Walk': 2, 'Run': 3, 'Jump': '0'}",IS Industrial,Inner Sphere,GM-3A,"['0', []]"
Hornet HNT-171,Ferro-Fibrous,62,Biped,100, Fusion Engine,3051,10 Single,20,Standard,Hornet,2,TRO 3050 - Clan Invasion,"{'Walk': 5, 'Run': 8, 'Jump': '3'}",Endo Steel,Inner Sphere,HNT-171,"['3', ['1 ISLRM5, Right Torso, Ammo:48', '1 ISAntiMissileSystem, Head, Ammo:12', '1 ISMediumLaser, Right Arm']]"
Cossack C-1FC,Light Ferro-Fibrous(Inner Sphere),59,Biped,120, XL Engine,3076,10 Single,20,Standard,Cossack,3,TRO 3060,"{'Walk': 6, 'Run': 9, 'Jump': '6'}",Endo Steel,Inner Sphere,C-1FC,"['4', ['Medium VSP, Left Arm', 'Rocket Launcher 10, Left Torso', 'Rocket Launcher 10, Right Torso', 'Rocket Launcher 10, Center Torso']]"
Hornet HNT-152,Standard(Inner Sphere),64,Biped,100, Fusion Engine,2997,10 Single,20,Standard,Hornet,1,TRO 3039 - Succession Wars,"{'Walk': 5, 'Run': 8, 'Jump': '5'}",Standard,Inner Sphere,HNT-152,"['3', ['Medium Laser, Right Arm', 'Small Laser, Left Arm', 'SRM 4, Right Torso']]"
Hornet HNT-151,Standard(Inner Sphere),64,Biped,100, Fusion Engine,2760,10 Single,20,Standard,Hornet,1,TRO 3039 - Star League,"{'Walk': 5, 'Run': 8, 'Jump': '5'}",Standard,Inner Sphere,HNT-151,"['3', ['Medium Laser, Right Arm', 'Small Laser, Left Arm', 'LRM 5, Right Torso']]"
Stinger STG-7S,Standard(Inner Sphere),48,Biped,120, XL Engine(IS),3077,10 Single,20,Standard,Stinger,2,Jihad,"{'Walk': 6, 'Run': 9, 'Jump': '8'}",Endo Steel,Inner Sphere,STG-7S,"['1', ['ER Medium Laser, Right Arm']]"
Cossack C-SK1,Standard(Inner Sphere),48,Biped,120, XL Engine,3060,10 Single,20,Standard,Cossack,2,TRO 3060,"{'Walk': 6, 'Run': 9, 'Jump': '6'}",Endo Steel,Inner Sphere,C-SK1,"['4', ['Medium Laser, Left Arm', 'Small Laser, Left Torso', 'Small Laser, Right Torso', 'SRM 6, Center Torso']]"
Stinger STG-6S,Heavy Ferro-Fibrous(Inner Sphere),59,Biped,140, Light Engine(IS),3069,10 Single,20,Standard,Stinger,2,Jihad,"{'Walk': 7, 'Run': 11, 'Jump': '7'}",Standard,Inner Sphere,STG-6S,"['3', ['Light Machine Gun, Left Arm', 'ER Medium Laser, Right Arm', 'Light Machine Gun, Right Arm']]"
Shugosha PTN-LAW LoaderMech,Commercial(Inner Sphere),35,Biped,40,Fusion Engine(IS),2627,10 Single,20,Standard,Shugosha,2,RS:VA IM Exo - Star League,"{'Walk': 2, 'Run': 3, 'Jump': '0'}",IS Industrial,Inner Sphere,PTN-LAW LoaderMech,"['0', []]"
Shugosha LAW-QM3 Q-Mech,Commercial(Inner Sphere),35,Biped,40,Fusion Engine(IS),3051,10 Single,20,Standard,Shugosha,4,RS:VA IM Exo - Clan Invasion,"{'Walk': 2, 'Run': 3, 'Jump': '0'}",IS Industrial,Inner Sphere,LAW-QM3 Q-Mech,"['1', ['PPC, Left Torso']]"
